BottleSize,Quantity,FilledWith
12,1,Ghost Barrel
12,4,Bees Knees
12,6,Tuesday Beer
16,12,Tuesday Beer
12,2,Table 4
12,1,Table 2
12,1,Table 3
12,7,Darth Wheat
16,1,Daily Dubbel
12,13,Daily Dubbel
16,15,Table 6
12,4,Table 6
16,4,White Lightning
12,4,White Lightning
12,2,Empty
16,4,Empty
